learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
14500.0,0.681536,1.5843782905075277E-8,14500.0,90.10000000000001,80.20063357972546,80.99808061420346,80.8880308880309,14500.0,99264.0
14600.0,0.684488,1.5919589284393513E-8,14600.0,89.7,79.38911745401572,80.23032629558541,79.96108949416343,14600.0,99264.0
14700.0,0.687474,1.5996268772416636E-8,14700.0,89.5,78.99949598790371,80.03802281368822,79.41176470588236,14700.0,99264.0
14800.0,0.691413,1.6097420983844326E-8,14800.0,89.4,78.79363809142743,79.73231357552581,78.8,14800.0,99264.0
14900.0,0.700617,1.6346196366680986E-8,14900.0,89.7,79.39439527551494,80.0,79.35871743486975,14900.0,104480.0
15000.0,0.704371,1.6448051888081755E-8,15000.0,89.0,77.98414858698263,78.17460317460318,77.91164658634538,15000.0,104880.0
15100.0,0.707678,1.6537779168122337E-8,15100.0,89.8,79.5908567038033,79.76190476190477,79.18367346938776,15100.0,104880.0
15200.0,0.710912,1.6625525773399397E-8,15200.0,89.60000000000001,79.1715900488266,79.52755905511812,78.51239669421489,15200.0,104880.0
15300.0,0.714282,1.671696240289343E-8,15300.0,89.8,79.56706210411183,80.1556420233463,79.01234567901236,15300.0,104880.0
15400.0,0.717647,1.6808263369732424E-8,15400.0,89.9,79.76114139147163,80.5019305019305,79.17525773195877,15400.0,104880.0
15500.0,0.720719,1.6891614504986332E-8,15500.0,88.8,77.53854546037961,78.37837837837837,76.76348547717843,15500.0,104880.0
15600.0,0.723798,1.6975155567957288E-8,15600.0,89.3,78.5492045162946,78.89546351084813,77.89256198347107,15600.0,104880.0
15700.0,0.726981,1.7061518414152987E-8,15700.0,89.1,78.14545104581035,78.28685258964144,77.47933884297521,15700.0,104880.0
15800.0,0.73051,1.7157269116077153E-8,15800.0,88.6,77.193431708332,77.24550898203593,77.06237424547284,15800.0,104880.0
15900.0,0.734085,1.7254267914427646E-8,15900.0,88.9,77.79467072097303,77.97619047619048,77.62096774193549,15900.0,104880.0
16000.0,0.738049,1.7361821267339913E-8,16000.0,90.0,80.00055998432045,79.87927565392354,79.7979797979798,16000.0,104880.0
16100.0,0.742495,1.7482452500197618E-8,16100.0,89.5,79.00167986561075,79.16666666666667,78.83064516129032,16100.0,104880.0
16200.0,0.746009,1.7577796214156675E-8,16200.0,89.5,78.97965230342973,79.24901185770752,78.61507128309573,16200.0,104880.0
16300.0,0.749496,1.767240734977854E-8,16300.0,88.9,77.74123686532445,78.06324110671937,77.1604938271605,16300.0,104880.0
16400.0,0.752795,1.7761917569571067E-8,16400.0,88.8,77.48553646740027,77.64471057884231,76.85950413223141,16400.0,104880.0
16500.0,0.756425,1.7860408657126953E-8,16500.0,89.7,79.3592138064816,79.35871743486975,78.85010266940452,16500.0,104880.0
16600.0,0.759593,1.7946364515357544E-8,16600.0,89.4,78.7073343189561,78.96825396825398,78.05383022774328,16600.0,104880.0
16700.0,0.762867,1.803519642187489E-8,16700.0,89.60000000000001,79.1090827280324,79.28286852589642,78.19706498951781,16700.0,104880.0
16800.0,0.770364,1.824732890559567E-8,16800.0,89.8,79.56403269754769,79.76190476190477,78.61635220125787,16800.0,109376.0
16900.0,0.773797,1.8345462563965053E-8,16900.0,89.0,77.98520605847129,78.34645669291339,77.41273100616016,16900.0,110496.0
17000.0,0.777073,1.843910831544134E-8,17000.0,88.2,76.39206773475888,76.81728880157172,75.6701030927835,17000.0,110496.0
17100.0,0.780417,1.853469787372483E-8,17100.0,88.5,76.99098046434203,77.0,76.33744855967079,17100.0,110496.0
17200.0,0.783663,1.8627486063374414E-8,17200.0,88.3,76.60336911484747,76.45875251509054,76.41129032258065,17200.0,110496.0
17300.0,0.790487,1.8832467132144504E-8,17300.0,87.6,75.1960313650184,74.74541751527495,75.1503006012024,17300.0,116112.0
17400.0,0.794365,1.8948955494496556E-8,17400.0,86.5,72.97427150647417,72.72727272727273,72.94589178356713,17400.0,116112.0
17500.0,0.79794,1.905634226484431E-8,17500.0,85.9,71.79842071155984,71.62977867203219,71.04722792607802,17500.0,116112.0
17600.0,0.801464,1.916219708406263E-8,17600.0,85.3,70.5957657902738,70.4225352112676,70.061099796334,17600.0,116112.0
17700.0,0.804843,1.9263696355952158E-8,17700.0,84.3,68.58039416595956,68.9108910891089,67.827868852459,17700.0,116112.0
17800.0,0.808255,1.9366186890337205E-8,17800.0,83.7,67.39217412178921,68.16406249999999,66.25258799171841,17800.0,116112.0
17900.0,0.81157,1.9465763713750577E-8,17900.0,83.3,66.59198207569817,66.93069306930693,64.61864406779661,17900.0,116112.0
18000.0,0.814905,1.9565941302312748E-8,18000.0,84.2,68.37913022594911,69.20077972709551,66.45435244161358,18000.0,116112.0
18100.0,0.818477,1.9673237957888182E-8,18100.0,83.7,67.37285421470663,68.0392156862745,65.53911205073994,18100.0,116112.0
18200.0,0.821744,1.977137294494444E-8,18200.0,84.1,68.16128412149173,68.63905325443787,66.09808102345414,18200.0,116112.0
18300.0,0.824922,1.986683452708854E-8,18300.0,84.8,69.57626949020236,70.54263565891472,68.33333333333333,18300.0,116112.0
18400.0,0.828324,1.9969024678899186E-8,18400.0,85.39999999999999,70.78422348067957,71.37254901960785,69.83471074380165,18400.0,116112.0
18500.0,0.833859,2.0135286433829205E-8,18500.0,86.1,72.17350918074006,73.00970873786407,71.34020618556701,18500.0,116112.0
18600.0,0.838807,2.0283915731641984E-8,18600.0,86.6,73.18745172740843,73.57001972386587,73.03822937625755,18600.0,116112.0
18700.0,0.84282,2.0404459258748428E-8,18700.0,87.3,74.5955288130711,74.7011952191235,74.7011952191235,18700.0,116112.0
18800.0,0.846194,2.0505808339350757E-8,18800.0,87.6,75.2,75.1503006012024,75.2988047808765,18800.0,116112.0
18900.0,0.849426,2.0602891987396614E-8,18900.0,88.4,76.79071628651461,76.98412698412699,77.07509881422925,18900.0,116112.0
19000.0,0.852912,2.0707605352832215E-8,19000.0,88.1,76.14389043029205,76.34194831013916,76.34194831013916,19000.0,116112.0
19100.0,0.856325,2.08101259254747E-8,19100.0,88.2,76.33136094674556,76.49402390438247,76.35270541082164,19100.0,116112.0
19200.0,0.859816,2.09149894821975E-8,19200.0,87.9,75.7553899174481,76.03960396039604,76.4591439688716,19200.0,116112.0
19300.0,0.863135,2.101468645864063E-8,19300.0,87.9,75.79419060574538,75.8,76.59574468085107,19300.0,116112.0
