learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
97000.0,2.135189,8.567608534875844E-9,97000.0,90.8,81.60110393376398,81.88976377952757,81.67330677290838,1160.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
98000.0,2.151701,8.591564038975372E-9,98000.0,90.7,81.25649976217925,82.01160541586074,80.08565310492506,208.0,5608.0,1.0,1.0,1.0,0.0,4896.0,0.0,1.0294117647058822
99000.0,2.167435,8.614390825645793E-9,99000.0,90.60000000000001,81.18366742332344,81.31212723658052,80.93306288032454,1208.0,5608.0,1.0,1.0,1.0,0.0,4896.0,0.0,1.0294117647058822
100000.0,2.183683,8.6379633202321E-9,100000.0,93.30000000000001,86.60150063192923,86.67992047713719,87.015503875969,2208.0,5608.0,1.0,1.0,1.0,0.0,4896.0,0.0,1.0294117647058822
101000.0,2.199373,8.66072627198365E-9,101000.0,93.10000000000001,86.18784530386742,85.65488565488566,85.50420168067228,3208.0,5608.0,1.0,1.0,1.0,0.0,4896.0,0.0,1.0294117647058822
102000.0,2.218909,8.689068975961871E-9,102000.0,81.89999999999999,63.777687055226004,63.94422310756971,62.90983606557376,624.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
103000.0,2.235269,8.712803959432577E-9,103000.0,89.5,79.00419916016797,78.87323943661973,78.91566265060241,56.0,5608.0,1.0,1.0,1.0,0.0,4896.0,0.0,1.0294117647058822
104000.0,2.251227,8.73595572387179E-9,104000.0,86.5,72.73630554725304,73.1610337972167,71.93347193347192,1056.0,5608.0,1.0,1.0,1.0,0.0,4896.0,0.0,1.0294117647058822
105000.0,2.267438,8.759474539094503E-9,105000.0,91.5,82.99972799564793,82.68839103869654,82.51028806584362,2056.0,5608.0,1.0,1.0,1.0,0.0,4896.0,0.0,1.0294117647058822
106000.0,2.283373,8.782592935280668E-9,106000.0,89.60000000000001,79.20673701720644,79.40594059405942,79.03225806451614,3056.0,5608.0,1.0,1.0,1.0,0.0,4896.0,0.0,1.0294117647058822
107000.0,2.302284,8.810028893252215E-9,107000.0,82.8,65.58554592929029,67.42424242424242,64.16666666666666,536.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
108000.0,2.317966,8.83278023865488E-9,108000.0,88.9,77.71621296073235,78.44660194174757,76.875,1536.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
109000.0,2.33373,8.85565054913362E-9,109000.0,92.60000000000001,85.2,84.42105263157896,85.14056224899599,2536.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
110000.0,2.350621,8.880155904011595E-9,110000.0,87.4,74.76770265940404,75.95419847328245,74.23312883435584,848.0,5608.0,1.0,1.0,1.0,0.0,4896.0,0.0,1.0294117647058822
111000.0,2.372093,8.91130734442009E-9,111000.0,77.2,54.399817599270406,53.086419753086425,54.12474849094567,184.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
112000.0,2.387826,8.934132680296899E-9,112000.0,88.4,76.7250546760569,76.98412698412699,74.27937915742794,1184.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
113000.0,2.404253,8.957964866939519E-9,113000.0,88.1,76.18971395642919,75.8130081300813,75.61475409836066,936.0,5608.0,1.0,1.0,1.0,0.0,4896.0,0.0,1.0294117647058822
114000.0,2.419826,8.98055807583862E-9,114000.0,90.9,81.79344564043056,81.54158215010142,81.57894736842107,1936.0,5608.0,1.0,1.0,1.0,0.0,4896.0,0.0,1.0294117647058822
115000.0,2.435331,9.003052630772194E-9,115000.0,91.4,82.79346151537584,83.23586744639377,82.3045267489712,2936.0,5608.0,1.0,1.0,1.0,0.0,4896.0,0.0,1.0294117647058822
116000.0,2.452257,9.052094835788012E-9,116000.0,87.2,74.32770682241191,74.29718875502009,72.53218884120172,3936.0,11200.0,3.0,2.0,2.0,1.0,4896.0,0.0,1.0294117647058822
117000.0,2.468301,9.098581491659084E-9,117000.0,88.0,76.00143991360518,74.78991596638656,75.85513078470825,4936.0,11200.0,3.0,2.0,2.0,1.0,4896.0,0.0,1.0294117647058822
118000.0,2.489513,9.18853356813391E-9,118000.0,88.4,76.80519563617749,76.08247422680412,75.78288100208769,5936.0,16392.0,5.0,3.0,3.0,2.0,4896.0,0.0,1.0294117647058822
119000.0,2.505464,9.257826345662276E-9,119000.0,84.89999999999999,69.70864126204633,70.03968253968253,67.94055201698514,6936.0,16792.0,5.0,3.0,3.0,2.0,4896.0,0.0,1.0294117647058822
120000.0,2.522908,9.358840307427778E-9,120000.0,85.6,71.20978867185157,70.1863354037267,71.25748502994011,7936.0,22384.0,7.0,4.0,4.0,2.0,4896.0,0.0,1.0294117647058822
121000.0,2.542793,9.473989506562551E-9,121000.0,89.60000000000001,79.19891834375387,78.51239669421489,79.36507936507937,8936.0,22384.0,7.0,4.0,4.0,2.0,4896.0,0.0,1.0294117647058822
122000.0,2.560081,9.574100110265944E-9,122000.0,87.6,75.15776820595012,74.64212678936605,75.3479125248509,9936.0,22384.0,7.0,4.0,4.0,2.0,4896.0,0.0,1.0294117647058822
123000.0,2.58074,9.693731355170408E-9,123000.0,88.6,77.17745132190605,76.0,76.63934426229508,10936.0,22384.0,7.0,4.0,4.0,2.0,4896.0,0.0,1.0294117647058822
124000.0,2.596956,9.78763426757521E-9,124000.0,89.1,78.17171053685577,79.70204841713222,77.89046653144015,11936.0,22384.0,7.0,4.0,4.0,2.0,4896.0,0.0,1.0294117647058822
125000.0,2.614452,9.888949348694748E-9,125000.0,89.3,78.5948627670641,78.55711422845691,77.89256198347107,12936.0,22384.0,7.0,4.0,4.0,2.0,4896.0,0.0,1.0294117647058822
126000.0,2.630642,9.982701701422532E-9,126000.0,88.6,77.20045599088017,76.8762677484787,76.68711656441718,13936.0,22384.0,7.0,4.0,4.0,2.0,4896.0,0.0,1.0294117647058822
127000.0,2.649384,1.0145458459026283E-8,127000.0,89.4,78.80271325270365,78.58585858585859,77.96257796257797,14936.0,33568.0,11.0,6.0,6.0,3.0,4896.0,0.0,1.0294117647058822
128000.0,2.66598,1.0289579211837715E-8,128000.0,86.1,72.19777582206575,72.63779527559055,71.9758064516129,15936.0,33568.0,11.0,6.0,6.0,3.0,4896.0,0.0,1.0294117647058822
129000.0,2.688146,1.0542992051276896E-8,129000.0,87.4,74.79909276733963,74.02061855670104,74.69879518072288,16936.0,44192.0,15.0,8.0,8.0,4.0,4896.0,0.0,1.0294117647058822
130000.0,2.704369,1.0730811796254582E-8,130000.0,87.2,74.37201423954959,73.05263157894737,72.93868921775898,17936.0,44752.0,15.0,8.0,8.0,4.0,4896.0,0.0,1.0294117647058822
131000.0,2.72662,1.0763093404885795E-8,131000.0,74.7,49.34326445619093,50.873786407767,48.367346938775505,408.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
132000.0,2.742983,1.0786832740737332E-8,132000.0,85.5,71.00394346368894,70.76612903225806,69.79166666666666,768.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
133000.0,2.758651,1.0809563775029448E-8,133000.0,89.8,79.58162346111502,79.55911823647295,78.83817427385893,1768.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
134000.0,2.774396,1.0832406520429586E-8,134000.0,90.5,80.9588711617093,81.5891472868217,80.76923076923077,2768.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
135000.0,2.791127,1.088088372308347E-8,135000.0,88.9,77.72211651935164,77.30061349693251,78.1496062992126,3768.0,11200.0,3.0,2.0,2.0,1.0,5064.0,0.0,1.028436018957346
